cle,nom,departement,latitude,longitude
aubencheul aux bois,Aubencheul-aux-Bois,2,50.02399,3.26103
aubenton,Aubenton,2,49.82523,4.19067
aubepierre ozouer le repos,Aubepierre-Ozouer-le-Repos,77,48.62028,2.90288
aubepierre sur aube,Aubepierre-sur-Aube,52,47.9098,4.95006
auberchicourt,Auberchicourt,59,50.32998,3.22782
aubercourt,Aubercourt,80,49.83789,2.54731
aubergenville,Aubergenville,78,48.96269,1.8487
auberive,Aubérive,51,49.19728,4.41097
auberive,Auberive,52,47.77893,5.10722
auberives en royans,Auberives-en-Royans,38,45.06505,5.31135
auberives sur vareze,Auberives-sur-Varèze,38,45.42643,4.8187
aubermesnil aux erables,Aubermesnil-aux-Érables,76,49.80763,1.56837
aubermesnil beaumais,Aubermesnil-Beaumais,76,49.84751,1.12124
aubers,Aubers,59,50.59605,2.81995
aubertin,Aubertin,64,43.27169,-0.48098
auberville,Auberville,14,49.3111,-0.02689
auberville la manuel,Auberville-la-Manuel,76,49.82917,0.58416
auberville la renault,Auberville-la-Renault,76,49.68596,0.37918
aubervilliers,Aubervilliers,93,48.91217,2.38446
aubessagne,Aubessagne,5,44.75815,6.01187
aubeterre,Aubeterre,10,48.4224,4.10678
aubeterre sur dronne,Aubeterre-sur-Dronne,16,45.26093,0.16792
aubiac,Aubiac,33,44.47079,-0.24446
aubiac,Aubiac,47,44.13783,0.56827
aubiat,Aubiat,63,45.98062,3.19256
aubiere,Aubière,63,45.75106,3.12613
aubiet,Aubiet,32,43.6535,0.78464
aubignan,Aubignan,84,44.09774,5.03166
aubignas,Aubignas,7,44.58548,4.63389
aubigne,Aubigné,35,48.29919,-1.63036
aubigne,Aubigné,79,46.04279,-0.14612
aubigne racan,Aubigné-Racan,72,47.68396,0.25042
aubigne sur layon,Aubigné-sur-Layon,49,47.2124,-0.47293
aubignosc,Aubignosc,4,44.11824,5.95734
aubigny,Aubigny,14,48.91458,-0.21554
aubigny,Aubigny,3,46.67331,3.16204
aubigny,Aubigny,79,46.72729,-0.10455
aubigny,Aubigny,80,49.88757,2.47173
aubigny au bac,Aubigny-au-Bac,59,50.26598,3.16875
aubigny aux kaisnes,Aubigny-aux-Kaisnes,2,49.77215,3.11926
aubigny en artois,Aubigny-en-Artois,62,50.34828,2.58651
aubigny en laonnois,Aubigny-en-Laonnois,2,49.49688,3.79283
aubigny en plaine,Aubigny-en-Plaine,21,47.12775,5.16492
aubigny la ronce,Aubigny-la-Ronce,21,46.98805,4.59635
aubigny les clouzeaux,Aubigny-Les Clouzeaux,85,46.60282,-1.46744
aubigny les pothees,Aubigny-les-Pothées,8,49.76451,4.42764
aubigny les sombernon,Aubigny-lès-Sombernon,21,47.30072,4.64274
aubigny sur nere,Aubigny-sur-Nère,18,47.48617,2.42122
aubilly,Aubilly,51,49.21277,3.85556
aubin,Aubin,12,44.53185,2.25592
aubin,Aubin,64,43.43568,-0.42147
aubin saint vaast,Aubin-Saint-Vaast,62,50.38675,1.96316
aubinges,Aubinges,18,47.21931,2.58567
auboncourt vauzelles,Auboncourt-Vauzelles,8,49.5559,4.48297
aubonne,Aubonne,25,47.03673,6.34293
aubord,Aubord,30,43.75121,4.31716
auboue,Auboué,54,49.21125,5.9751
aubous,Aubous,64,43.57614,-0.14107
aubres,Aubres,26,44.3893,5.15438
aubreville,Aubréville,55,49.15578,5.09477
aubrives,Aubrives,8,50.08735,4.76695
aubrometz,Aubrometz,62,50.3038,2.17623
aubry du hainaut,Aubry-du-Hainaut,59,50.37596,3.45221
aubry en exmes,Aubry-en-Exmes,61,48.79455,0.07136
aubry le panthou,Aubry-le-Panthou,61,48.8546,0.22774
aubure,Aubure,68,48.20427,7.21128
aubussargues,Aubussargues,30,44.01002,4.32604
aubusson,Aubusson,23,45.9509,2.16588
aubusson,Aubusson,61,48.77982,-0.55328
aubusson d auvergne,Aubusson-d'Auvergne,63,45.75321,3.59888
aubvillers,Aubvillers,80,49.70857,2.47932
auby,Auby,59,50.4143,3.06116
aucaleuc,Aucaleuc,22,48.45131,-2.12726
aucamville,Aucamville,31,43.6714,1.42371
aucamville,Aucamville,82,43.79602,1.22533
aucazein,Aucazein,9,42.9209,0.96629
aucelon,Aucelon,26,44.61708,5.35428
aucey la plaine,Aucey-la-Plaine,50,48.5265,-1.4752
auch,Auch,32,43.65343,0.57519
auchay sur vendee,Auchay-sur-Vendée,85,46.44744,-0.87657
auchel,Auchel,62,50.51033,2.46871
auchonvillers,Auchonvillers,80,50.08201,2.63331
auchy au bois,Auchy-au-Bois,62,50.55059,2.37331
auchy la montagne,Auchy-la-Montagne,60,49.57396,2.11947
auchy les hesdin,Auchy-lès-Hesdin,62,50.40857,2.0953
auchy les mines,Auchy-les-Mines,62,50.50583,2.78113
auchy lez orchies,Auchy-lez-Orchies,59,50.48062,3.1952
aucun,Aucun,65,42.98577,-0.20143
audaux,Audaux,64,43.3726,-0.7799
audelange,Audelange,39,47.1407,5.58399
audeloncourt,Audeloncourt,52,48.11582,5.53261
audembert,Audembert,62,50.8589,1.69084
audenge,Audenge,33,44.7139,-0.94417
auderville,Auderville,50,49.70724,-1.93531
audes,Audes,3,46.46077,2.55905
audeux,Audeux,25,47.25849,5.86913
audeville,Audeville,45,48.28014,2.2429
audierne,Audierne,29,48.02411,-4.54449
audignicourt,Audignicourt,2,49.47772,3.12719
audignies,Audignies,59,50.27835,3.82456
audignon,Audignon,40,43.7229,-0.59126
audigny,Audigny,2,49.86606,3.63126
audincourt,Audincourt,25,47.48117,6.85494
audincthun,Audincthun,62,50.5787,2.12673
audinghen,Audinghen,62,50.85176,1.60849
audon,Audon,40,43.79948,-0.82488
audouville la hubert,Audouville-la-Hubert,50,49.41704,-1.22667
audrehem,Audrehem,62,50.77144,1.98452
audressein,Audressein,9,42.93051,1.02017
audresselles,Audresselles,62,50.82886,1.61127
audrieu,Audrieu,14,49.20466,-0.60424
audrix,Audrix,24,44.88307,0.94849
audruicq,Audruicq,62,50.88465,2.08157
audun le roman,Audun-le-Roman,54,49.36791,5.89363
audun le tiche,Audun-le-Tiche,57,49.45831,5.95735
auenheim,Auenheim,67,48.80909,8.01736
auffargis,Auffargis,78,48.6843,1.90244
auffay,Auffay,76,49.71247,1.11304
aufferville,Aufferville,77,48.20493,2.60097
auffreville brasseuil,Auffreville-Brasseuil,78,48.95442,1.70515
auflance,Auflance,8,49.61526,5.29558
auga,Auga,64,43.47731,-0.3787
augan,Augan,56,47.91223,-2.26794
auge,Auge,23,46.23678,2.33257
auge,Augé,79,46.44976,-0.28882
auge,Auge,8,49.85719,4.26844
auge saint medard,Auge-Saint-Médard,16,45.85114,-0.08723
augea,Augea,39,46.56208,5.38938
auger saint vincent,Auger-Saint-Vincent,60,49.2125,2.8132
augerans,Augerans,39,47.02633,5.58386
augeres,Augères,23,46.07996,1.72764
augerolles,Augerolles,63,45.73674,3.6309
augers en brie,Augers-en-Brie,77,48.66683,3.3524
augerville la riviere,Augerville-la-Rivière,45,48.25304,2.41871
augicourt,Augicourt,70,47.76992,5.89161
augignac,Augignac,24,45.58382,0.70232
augirein,Augirein,9,42.91088,0.91681
augisey,Augisey,39,46.55484,5.49566
augnat,Augnat,63,45.41402,3.17931
augnax,Augnax,32,43.72369,0.77379
augne,Augne,87,45.77192,1.70058
augny,Augny,57,49.0552,6.11578
auguaise,Auguaise,61,48.6981,0.55157
augy,Augy,2,49.34006,3.51102
augy,Augy,89,47.76992,3.62189
augy sur aubois,Augy-sur-Aubois,18,46.78292,2.85715
aujac,Aujac,17,45.8475,-0.39451
aujac,Aujac,30,44.35514,4.01861
aujan mournede,Aujan-Mournède,32,43.37585,0.50183
aujargues,Aujargues,30,43.79144,4.12869
aujeurres,Aujeurres,52,47.73878,5.17296
aujols,Aujols,46,44.42438,1.54158
aulan,Aulan,26,44.23002,5.4222
aulas,Aulas,30,43.99898,3.58716
aulhat flat,Aulhat-Flat,63,45.57176,3.29405
aullene,Aullène,2A,41.80679,9.09267
aulnat,Aulnat,63,45.79318,3.17108
aulnay,Aulnay,10,48.47835,4.41534
aulnay,Aulnay,17,46.02034,-0.3481
aulnay,Aulnay,86,46.90603,0.09129
aulnay l aitre,Aulnay-l'Aître,51,48.82594,4.56822
aulnay la riviere,Aulnay-la-Rivière,45,48.20873,2.37326
aulnay sous bois,Aulnay-sous-Bois,93,48.94584,2.49329
aulnay sur iton,Aulnay-sur-Iton,27,48.99395,1.0551
aulnay sur marne,Aulnay-sur-Marne,51,48.99734,4.20732
aulnay sur mauldre,Aulnay-sur-Mauldre,78,48.92912,1.84082
aulnois,Aulnois,88,48.26182,5.77706
aulnois en perthois,Aulnois-en-Perthois,55,48.63477,5.12637
aulnois sous laon,Aulnois-sous-Laon,2,49.61981,3.60982
aulnois sur seille,Aulnois-sur-Seille,57,48.86194,6.32825
aulnoy,Aulnoy,77,48.84887,3.08941
aulnoy lez valenciennes,Aulnoy-lez-Valenciennes,59,50.32615,3.53764
aulnoy sur aube,Aulnoy-sur-Aube,52,47.83126,5.03399
aulnoye aymeries,Aulnoye-Aymeries,59,50.20587,3.83263
aulon,Aulon,23,46.09181,1.69586
aulon,Aulon,31,43.19004,0.81342
aulon,Aulon,65,42.85669,0.26331
aulos,Aulos,9,42.79146,1.67186
ault,Ault,80,50.09255,1.44718
aulus les bains,Aulus-les-Bains,9,42.76661,1.35664
aulx les cromary,Aulx-lès-Cromary,70,47.37556,6.09714
aumagne,Aumagne,17,45.88009,-0.4117
aumale,Aumale,76,49.76937,1.75495
aumatre,Aumâtre,80,49.92157,1.77316
aumelas,Aumelas,34,43.57779,3.61728
aumenancourt,Auménancourt,51,49.38557,4.05833
aumerval,Aumerval,62,50.50561,2.40679
aumes,Aumes,34,43.46388,3.46994
aumessas,Aumessas,30,44.01134,3.51374
aumetz,Aumetz,57,49.4185,5.9469
aumeville lestre,Aumeville-Lestre,50,49.53899,-1.3225
aumont,Aumont,39,46.91613,5.63273
aumont,Aumont,80,49.87879,1.92411
aumont en halatte,Aumont-en-Halatte,60,49.233,2.55263
aumur,Aumur,39,47.06098,5.33712
aunac sur charente,Aunac-sur-Charente,16,45.91512,0.25579
aunat,Aunat,11,42.78899,2.10049
aunay en bazois,Aunay-en-Bazois,58,47.1243,3.71966
aunay les bois,Aunay-les-Bois,61,48.54667,0.29334
aunay sous auneau,Aunay-sous-Auneau,28,48.44286,1.81372
aunay sous crecy,Aunay-sous-Crécy,28,48.65758,1.30388
auneau bleury saint symphorien,Auneau-Bleury-Saint-Symphorien,28,48.46943,1.77317
auneuil,Auneuil,60,49.37027,1.99555
aunou le faucon,Aunou-le-Faucon,61,48.71948,0.05535
aunou sur orne,Aunou-sur-Orne,61,48.60578,0.23823
auppegard,Auppegard,76,49.83068,1.03085
aups,Aups,83,43.62463,6.22133
aurade,Auradé,32,43.55856,1.07382
auradou,Auradou,47,44.34096,0.81479
auragne,Auragne,31,43.39129,1.50909
auray,Auray,56,47.66771,-2.99041
aure,Aure,8,49.27654,4.62392
aure sur mer,Aure sur Mer,14,49.34679,-0.81043
aurec sur loire,Aurec-sur-Loire,43,45.36886,4.2046
aureil,Aureil,87,45.80951,1.40129
aureilhan,Aureilhan,40,44.21175,-1.18946
aureilhan,Aureilhan,65,43.2497,0.10364
aureille,Aureille,13,43.70007,4.94497
aurel,Aurel,26,44.69256,5.29816
aurel,Aurel,84,44.13813,5.39633
aurensan,Aurensan,32,43.62033,-0.20195
aurensan,Aurensan,65,43.30622,0.0955
aureville,Aureville,31,43.48042,1.45712
auriac,Auriac,11,42.92564,2.49454
auriac,Auriac,19,45.20022,2.13938
auriac,Auriac,64,43.45346,-0.31947
auriac du perigord,Auriac-du-Périgord,24,45.11256,1.12729
auriac l eglise,Auriac-l'Église,15,45.26419,3.12606
auriac lagast,Auriac-Lagast,12,44.14464,2.59651
auriac sur dropt,Auriac-sur-Dropt,47,44.65447,0.24351
auriac sur vendinelle,Auriac-sur-Vendinelle,31,43.51941,1.8244
auriat,Auriat,23,45.87098,1.6339
auribail,Auribail,31,43.34649,1.37525
auribeau,Auribeau,84,43.82998,5.44809
auribeau sur siagne,Auribeau-sur-Siagne,6,43.61241,6.91211
aurice,Aurice,40,43.80299,-0.59893
auriebat,Auriébat,65,43.49924,0.08828
aurieres,Aurières,63,45.68184,2.91547
aurignac,Aurignac,31,43.21372,0.8715
aurillac,Aurillac,15,44.92452,2.44162
aurimont,Aurimont,32,43.56498,0.82891
aurin,Aurin,31,43.5352,1.6812
auriol,Auriol,13,43.36079,5.65839
auriolles,Auriolles,33,44.73694,0.0445
aurions idernes,Aurions-Idernes,64,43.53117,-0.13077
auris,Auris,38,45.05171,6.08359
aurons,Aurons,13,43.67151,5.14904
auros,Auros,33,44.50765,-0.16374
aurouer,Aurouër,3,46.68307,3.30497
auroux,Auroux,48,44.75749,3.72695
aurseulles,Aurseulles,14,49.11299,-0.69083
aussac,Aussac,81,43.86287,2.03858
aussac vadalle,Aussac-Vadalle,16,45.82158,0.2156
ausseing,Ausseing,31,43.15406,1.03127
aussevielle,Aussevielle,64,43.3584,-0.47917
aussillon,Aussillon,81,43.49468,2.3558
aussois,Aussois,73,45.25503,6.72903
ausson,Ausson,31,43.09159,0.58998
aussonce,Aussonce,8,49.34555,4.3272
aussonne,Aussonne,31,43.6836,1.32887
aussos,Aussos,32,43.37528,0.64113
aussurucq,Aussurucq,64,43.12896,-0.97884
autainville,Autainville,41,47.88431,1.42054
autechaux,Autechaux,25,47.38087,6.38532
autechaux roide,Autechaux-Roide,25,47.389,6.8102
auterive,Auterive,31,43.3596,1.47743
auterive,Auterive,32,43.57964,0.63212
auterive,Auterive,82,43.85517,0.97055
auterrive,Auterrive,64,43.46552,-1.00925
autet,Autet,70,47.54529,5.70067
auteuil,Auteuil,60,49.34503,2.09239
auteuil,Auteuil,78,48.83949,1.81899
autevielle saint martin bideren,Autevielle-Saint-Martin-Bideren,64,43.39564,-0.97775
authe,Authe,8,49.46015,4.87768
autheuil,Autheuil,28,48.00687,1.29521
autheuil authouillet,Autheuil-Authouillet,27,49.10043,1.29478
autheuil en valois,Autheuil-en-Valois,60,49.17929,3.0635
autheux,Autheux,80,50.13954,2.23314
authevernes,Authevernes,27,49.21949,1.63269
authezat,Authezat,63,45.63858,3.19314
authie,Authie,14,49.20581,-0.43065
authie,Authie,80,50.1185,2.49152
authieule,Authieule,80,50.13591,2.37779
authieux ratieville,Authieux-Ratiéville,76,49.59799,1.14626
authiou,Authiou,58,47.26532,3.41892
authoison,Authoison,70,47.49165,6.14448
authon,Authon,4,44.24925,6.15102
authon,Authon,41,47.63754,0.88324
authon du perche,Authon-du-Perche,28,48.20173,0.88547
authon ebeon,Authon-Ébéon,17,45.84188,-0.42625
authon la plaine,Authon-la-Plaine,91,48.45341,1.95677
authou,Authou,27,49.22608,0.69676
authuille,Authuille,80,50.04677,2.67678
authume,Authume,39,47.12507,5.50827
authumes,Authumes,71,46.88992,5.30758
autichamp,Autichamp,26,44.68324,4.97342
autignac,Autignac,34,43.49972,3.16768
autigny,Autigny,76,49.79583,0.85429
autigny la tour,Autigny-la-Tour,88,48.41508,5.78035
autigny le grand,Autigny-le-Grand,52,48.47194,5.14871
autigny le petit,Autigny-le-Petit,52,48.48166,5.15235
autingues,Autingues,62,50.84229,1.9864
autoire,Autoire,46,44.85831,1.82559
autoreille,Autoreille,70,47.37063,5.82479
autouillet,Autouillet,78,48.84393,1.797
autrac,Autrac,43,45.33677,3.12942
autrans meaudre en vercors,Autrans-Méaudre en Vercors,38,45.13218,5.52869
autreche,Autrèche,37,47.52252,1.00232
autrechene,Autrechêne,90,47.59196,6.96347
autreches,Autrêches,60,49.44919,3.12723
autrecourt et pourron,Autrecourt-et-Pourron,8,49.60661,5.01793
autrecourt sur aire,Autrécourt-sur-Aire,55,49.03106,5.13983
autremencourt,Autremencourt,2,49.70512,3.7942
autrepierre,Autrepierre,54,48.60802,6.79797
autreppes,Autreppes,2,49.89698,3.85601
autretot,Autretot,76,49.65536,0.72785
autreville,Autreville,2,49.58609,3.23603
autreville,Autreville,88,48.49009,5.85837
autreville saint lambert,Autréville-Saint-Lambert,55,49.56277,5.13433
autreville sur la renne,Autreville-sur-la-Renne,52,48.12585,4.9774
autreville sur moselle,Autreville-sur-Moselle,54,48.8287,6.10779
autrey,Autrey,54,48.53155,6.12732
autrey,Autrey,88,48.28923,6.72398
autrey le vay,Autrey-le-Vay,70,47.53641,6.39639
autrey les cerre,Autrey-lès-Cerre,70,47.61279,6.34601
autrey les gray,Autrey-lès-Gray,70,47.46474,5.46526
autricourt,Autricourt,21,47.99328,4.62177
autruche,Autruche,8,49.45415,4.90568
autruy sur juine,Autruy-sur-Juine,45,48.2768,2.09163
autry,Autry,8,49.2657,4.83115
autry issards,Autry-Issards,3,46.54458,3.12274
autry le chatel,Autry-le-Châtel,45,47.5949,2.6021
autun,Autun,71,46.94554,4.3106
auty,Auty,82,44.18892,1.46944
auvare,Auvare,6,44.00742,6.91468
auve,Auve,51,49.02869,4.6867
auvernaux,Auvernaux,91,48.52912,2.48792
auvers,Auvers,43,44.99669,3.39158
auvers,Auvers,50,49.30004,-1.32396
auvers le hamon,Auvers-le-Hamon,72,47.90392,-0.34508
auvers saint georges,Auvers-Saint-Georges,91,48.47737,2.226
auvers sous montfaucon,Auvers-sous-Montfaucon,72,48.0012,-0.07466
auvers sur oise,Auvers-sur-Oise,95,49.08039,2.15488
auverse,Auverse,49,47.50055,0.03899
auvet et la chapelotte,Auvet-et-la-Chapelotte,70,47.50709,5.52591
auvillar,Auvillar,82,44.0585,0.88741
auvillars,Auvillars,14,49.1974,0.07578
auvillars sur saone,Auvillars-sur-Saône,21,47.05928,5.10776
auvillers les forges,Auvillers-les-Forges,8,49.86612,4.36077
auvilliers,Auvilliers,76,49.75778,1.57468
auvilliers en gatinais,Auvilliers-en-Gâtinais,45,47.96536,2.4912
aux aussat,Aux-Aussat,32,43.44124,0.26287
aux marais,Aux Marais,60,49.40737,2.04083
auxais,Auxais,50,49.21541,-1.30575
auxange,Auxange,39,47.17783,5.65519
auxant,Auxant,21,47.12989,4.61921
auxelles bas,Auxelles-Bas,90,47.72868,6.7839
auxelles haut,Auxelles-Haut,90,47.74977,6.77834
auxerre,Auxerre,89,47.79349,3.58168
auxey duresses,Auxey-Duresses,21,46.98521,4.73141
auxi le chateau,Auxi-le-Château,62,50.23104,2.11721
auxon,Auxon,10,48.09232,3.92346
auxon,Auxon,70,47.69499,6.15446
auxonne,Auxonne,21,47.18861,5.4145
auxy,Auxy,45,48.10921,2.48643
auxy,Auxy,71,46.94106,4.41735
auzainvilliers,Auzainvilliers,88,48.23678,5.85288
auzances,Auzances,23,46.02631,2.50665
auzas,Auzas,31,43.17448,0.89416
auzat,Auzat,9,42.70235,1.44304
auzat la combelle,Auzat-la-Combelle,63,45.45081,3.3259
auzebosc,Auzebosc,76,49.60137,0.73365
auzelles,Auzelles,63,45.60685,3.51903
auzers,Auzers,15,45.27599,2.46519
auzet,Auzet,4,44.3054,6.31116
auzeville tolosane,Auzeville-Tolosane,31,43.52861,1.48722
auzielle,Auzielle,31,43.54014,1.56832
auzits,Auzits,12,44.49955,2.32167
auzon,Auzon,43,45.38736,3.37851
auzouer en touraine,Auzouer-en-Touraine,37,47.55446,0.93712
auzouville auberbosc,Auzouville-Auberbosc,76,49.63059,0.57347
auzouville l esneval,Auzouville-l'Esneval,76,49.63321,0.88372
auzouville sur ry,Auzouville-sur-Ry,76,49.43744,1.30967
auzouville sur saane,Auzouville-sur-Saâne,76,49.74196,0.93184
availles en chatellerault,Availles-en-Châtellerault,86,46.75619,0.56978
availles limouzine,Availles-Limouzine,86,46.13392,0.64742
availles sur seiche,Availles-sur-Seiche,35,47.95804,-1.1854
availles thouarsais,Availles-Thouarsais,79,46.8552,-0.13684
avajan,Avajan,65,42.84746,0.40229
avallon,Avallon,89,47.48248,3.91586
avancon,Avançon,5,44.53395,6.19116
avancon,Avançon,8,49.48086,4.25135
avanne aveney,Avanne-Aveney,25,47.20139,5.9555
avant les marcilly,Avant-lès-Marcilly,10,48.43234,3.56013
avant les ramerupt,Avant-lès-Ramerupt,10,48.44851,4.25845
avanton,Avanton,86,46.66361,0.30486
avapessa,Avapessa,2B,42.55917,8.89435
avaray,Avaray,41,47.72508,1.55501
avaux,Avaux,8,49.46594,4.06887
aveize,Aveize,69,45.6794,4.47552
aveizieux,Aveizieux,42,45.56928,4.37903
avelanges,Avelanges,21,47.58734,5.03061
avelesges,Avelesges,80,49.90325,1.93186
avelin,Avelin,59,50.53979,3.08608
aveluy,Aveluy,80,50.03116,2.66043
avenas,Avenas,69,46.19584,4.60024
avenay,Avenay,14,49.09575,-0.46441
avenay val d or,Avenay-Val-d'Or,51,49.07584,4.04657
avene,Avène,34,43.7484,3.10468
avensac,Avensac,32,43.83072,0.90174
avensan,Avensan,33,45.0054,-0.76082
aventignan,Aventignan,65,43.06162,0.52375
averan,Averan,65,43.13592,-0.00268
averdoingt,Averdoingt,62,50.3453,2.445
averdon,Averdon,41,47.68555,1.30138
avermes,Avermes,3,46.59839,3.31863
avernes,Avernes,95,49.08883,1.87004
avernes saint gourgon,Avernes-Saint-Gourgon,61,48.93704,0.3135
avernes sous exmes,Avernes-sous-Exmes,61,48.7883,0.20106
averon bergelle,Avéron-Bergelle,32,43.75623,0.06576
averton,Averton,53,48.35455,-0.21052
avesnelles,Avesnelles,59,50.10566,3.95097
avesnes,Avesnes,62,50.55165,1.96215
avesnes chaussoy,Avesnes-Chaussoy,80,49.89306,1.86378
avesnes en bray,Avesnes-en-Bray,76,49.47296,1.67584
avesnes en saosnois,Avesnes-en-Saosnois,72,48.26605,0.35866
avesnes en val,Avesnes-en-Val,76,49.91782,1.40811
avesnes le comte,Avesnes-le-Comte,62,50.27168,2.52859
avesnes le sec,Avesnes-le-Sec,59,50.2484,3.37145
avesnes les aubert,Avesnes-les-Aubert,59,50.19118,3.37677
avesnes les bapaume,Avesnes-lès-Bapaume,62,50.10499,2.83306
avesnes sur helpe,Avesnes-sur-Helpe,59,50.12429,3.92755
avessac,Avessac,44,47.63544,-1.97051
avesse,Avessé,72,47.95734,-0.2673
aveux,Aveux,65,43.00856,0.5637
avezac prat lahitte,Avezac-Prat-Lahitte,65,43.06491,0.33527
avezan,Avezan,32,43.88323,0.80172
aveze,Avèze,30,43.97594,3.59883
aveze,Avèze,63,45.5971,2.60615
aveze,Avezé,72,48.23432,0.6725
aviernoz,Aviernoz,74,45.97644,6.2369
avignon,Avignon,84,43.93524,4.84072
avignon les saint claude,Avignon-lès-Saint-Claude,39,46.40118,5.84079
avignonet,Avignonet,38,44.9576,5.67358
avignonet lauragais,Avignonet-Lauragais,31,43.37697,1.77273
avillers,Avillers,54,49.32253,5.73814
avillers,Avillers,88,48.31352,6.2058
avillers sainte croix,Avillers-Sainte-Croix,55,49.03388,5.70381
avilley,Avilley,25,47.42898,6.26889
avilly saint leonard,Avilly-Saint-Léonard,60,49.18392,2.52768
avion,Avion,62,50.4039,2.82659
avioth,Avioth,55,49.56632,5.3905
avire,Aviré,49,47.71188,-0.79163
avirey lingey,Avirey-Lingey,10,48.028,4.29703
aviron,Aviron,27,49.05663,1.12003
avize,Avize,51,48.97338,4.00542
avocourt,Avocourt,55,49.20322,5.1423
avoine,Avoine,37,47.22378,0.18754
avoine,Avoine,61,48.67136,-0.09933
avoise,Avoise,72,47.85991,-0.19309
avolsheim,Avolsheim,67,48.56059,7.49417
avon,Avon,77,48.41297,2.73352
avon,Avon,79,46.3723,0.00236
avon la peze,Avon-la-Pèze,10,48.38744,3.65148
avon les roches,Avon-les-Roches,37,47.18304,0.45962
avondance,Avondance,62,50.47928,2.10125
avord,Avord,18,47.03205,2.66581
avosnes,Avosnes,21,47.36847,4.63263
avot,Avot,21,47.61707,5.00757
avoudrey,Avoudrey,25,47.13849,6.43337
avrainville,Avrainville,54,48.7715,5.94649
avrainville,Avrainville,88,48.3782,6.22116
avrainville,Avrainville,91,48.55765,2.24429
avranches,Avranches,50,48.68847,-1.35732
avranville,Avranville,88,48.41791,5.53556
avrechy,Avrechy,60,49.44491,2.4238
avrecourt,Avrecourt,52,47.96675,5.53468
avree,Avrée,58,46.82295,3.87908
avremesnil,Avremesnil,76,49.85019,0.93294
avressieux,Avressieux,73,45.5713,5.6939
avreuil,Avreuil,10,48.05314,3.99803
avricourt,Avricourt,54,48.64258,6.81321
avricourt,Avricourt,57,48.65563,6.80547
avricourt,Avricourt,60,49.64961,2.86403
avrieux,Avrieux,73,45.1781,6.74677
avrigney virey,Avrigney-Virey,70,47.3393,5.77571
avrigny,Avrigny,60,49.38908,2.57703
avril,Avril,54,49.29417,5.96777
avril sur loire,Avril-sur-Loire,58,46.80843,3.3621
avrille,Avrillé,49,47.50571,-0.60079
avrille,Avrillé,85,46.47443,-1.49524
avrille les ponceaux,Avrillé-les-Ponceaux,37,47.38827,0.30297
avrilly,Avrilly,3,46.33214,3.96662
avrilly,Avrilly,61,48.53717,-0.61758
avroult,Avroult,62,50.632,2.14548
avy,Avy,17,45.55144,-0.50868
awala yalimapo,Awala-Yalimapo,973,5.68354,-53.91626
awoingt,Awoingt,59,50.15364,3.28602
ax les thermes,Ax-les-Thermes,9,42.68736,1.81826
axat,Axat,11,42.79746,2.2406
axiat,Axiat,9,42.7997,1.761
ay champagne,Aÿ-Champagne,51,49.06259,3.99734
ay sur moselle,Ay-sur-Moselle,57,49.24758,6.19572
ayat sur sioule,Ayat-sur-Sioule,63,46.06155,2.88701
aydat,Aydat,63,45.66679,2.98448
aydie,Aydie,64,43.57076,-0.11345
aydius,Aydius,64,42.99885,-0.51927
aydoilles,Aydoilles,88,48.21064,6.5713
ayen,Ayen,19,45.25433,1.32443
ayencourt,Ayencourt,80,49.62649,2.55113
ayette,Ayette,62,50.16992,2.73263
ayguatebia talau,Ayguatébia-Talau,66,42.55298,2.183
ayguemorte les graves,Ayguemorte-les-Graves,33,44.70244,-0.48415
ayguesvives,Ayguesvives,31,43.42902,1.59439
ayguetinte,Ayguetinte,32,43.83243,0.41892
ayherre,Ayherre,64,43.37876,-1.24527
ayn,Ayn,73,45.57151,5.74946
aynac,Aynac,46,44.78797,1.85677
ayrens,Ayrens,15,44.99093,2.3237
ayron,Ayron,86,46.64408,0.0455
ayros arbouix,Ayros-Arbouix,65,43.00136,-0.06764
ayse,Ayse,74,46.08699,6.44602
ayssenes,Ayssènes,12,44.09211,2.7657
aytre,Aytré,17,46.13427,-1.11455
ayzac ost,Ayzac-Ost,65,43.02271,-0.09223
ayzieu,Ayzieu,32,43.85833,-0.02562
azannes et soumazannes,Azannes-et-Soumazannes,55,49.29323,5.46798
azas,Azas,31,43.72005,1.67437
azat chatenet,Azat-Châtenet,23,46.08663,1.76923
azat le ris,Azat-le-Ris,87,46.30778,1.05737
azay le brule,Azay-le-Brûlé,79,46.40452,-0.26746
azay le ferron,Azay-le-Ferron,36,46.84598,1.08125
azay le rideau,Azay-le-Rideau,37,47.27297,0.46946
azay sur cher,Azay-sur-Cher,37,47.33436,0.84489
azay sur indre,Azay-sur-Indre,37,47.20389,0.94328
azay sur thouet,Azay-sur-Thouet,79,46.61909,-0.35664
aze,Azé,41,47.85703,0.99706
aze,Azé,53,47.82883,-0.65789
aze,Azé,71,46.43189,4.74964
azelot,Azelot,54,48.58376,6.22939
azerables,Azerables,23,46.35246,1.47492
azerailles,Azerailles,54,48.49727,6.69487
azerat,Azerat,24,45.15972,1.10636
azerat,Azérat,43,45.35348,3.39901
azereix,Azereix,65,43.20817,-0.02381
azet,Azet,65,42.7787,0.35954
azeville,Azeville,50,49.45728,-1.31285
azillanet,Azillanet,34,43.32361,2.74504
azille,Azille,11,43.27371,2.65747
