cle,nom,departement,latitude,longitude
agos vidalos,Agos-Vidalos,65,43.03974,-0.07541
agris,Agris,16,45.77649,0.32808
agudelle,Agudelle,17,45.38229,-0.46963
aguessac,Aguessac,12,44.16139,3.06899
aguilcourt,Aguilcourt,2,49.39365,3.96804
aguts,Aguts,81,43.53192,1.9245
agy,Agy,14,49.23768,-0.77919
ahaxe alciette bascassan,Ahaxe-Alciette-Bascassan,64,43.14397,-1.1638
ahetze,Ahetze,64,43.40428,-1.57068
aheville,Ahéville,88,48.28463,6.19936
ahuille,Ahuillé,53,48.02427,-0.87285
ahun,Ahun,23,46.08617,2.0243
ahuy,Ahuy,21,47.37136,5.0213
aibes,Aibes,59,50.23371,4.09623
aibre,Aibre,25,47.55183,6.69787
aicirits camou suhast,Aïcirits-Camou-Suhast,64,43.35366,-1.01649
aiffres,Aiffres,79,46.28205,-0.41429
aigaliers,Aigaliers,30,44.06955,4.31088
aiglemont,Aiglemont,8,49.79022,4.77009
aiglepierre,Aiglepierre,39,46.95539,5.80954
aigleville,Aigleville,27,49.00598,1.42581
aiglun,Aiglun,4,44.06387,6.13843
aiglun,Aiglun,6,43.85242,6.93494
aignan,Aignan,32,43.69443,0.08704
aignay le duc,Aignay-le-Duc,21,47.67175,4.75072
aigne,Aigne,34,43.32555,2.79308
aigne,Aigné,72,48.06744,0.10552
aignerville,Aignerville,14,49.32619,-0.91847
aignes,Aignes,31,43.33492,1.58646
aignes et puyperoux,Aignes-et-Puypéroux,16,45.44995,0.13949
aigneville,Aigneville,80,50.03676,1.60998
aigny,Aigny,51,49.04264,4.22046
aigonnay,Aigonnay,79,46.32658,-0.24862
aigre,Aigre,16,45.88917,-0.00038
aigrefeuille,Aigrefeuille,31,43.56936,1.58421
aigrefeuille d aunis,Aigrefeuille-d'Aunis,17,46.11651,-0.94454
aigrefeuille sur maine,Aigrefeuille-sur-Maine,44,47.07193,-1.41556
aigremont,Aigremont,30,43.96132,4.11796
aigremont,Aigremont,52,48.01257,5.72588
aigremont,Aigremont,78,48.90084,2.01536
aigremont,Aigremont,89,47.7181,3.89038
aiguebelette le lac,Aiguebelette-le-Lac,73,45.54769,5.81388
aiguebelle,Aiguebelle,73,45.5329,6.3045
aigueblanche,Aigueblanche,73,45.51986,6.51471
aiguefonde,Aiguefonde,81,43.49286,2.32316
aigueperse,Aigueperse,63,46.01483,3.20129
aigueperse,Aigueperse,69,46.28013,4.42331
aigues juntes,Aigues-Juntes,9,43.05062,1.47151
aigues mortes,Aigues-Mortes,30,43.55072,4.1835
aigues vives,Aigues-Vives,11,43.23515,2.53278
aigues vives,Aigues-Vives,30,43.73456,4.19079
aigues vives,Aigues-Vives,34,43.34766,2.82493
aigues vives,Aigues-Vives,9,43.00066,1.87696
aigueze,Aiguèze,30,44.31602,4.5174
aiguilhe,Aiguilhe,43,45.05307,3.88525
aiguilles,Aiguilles,5,44.77934,6.87518
aiguillon,Aiguillon,47,44.30129,0.35823
aiguines,Aiguines,83,43.72844,6.30439
aigurande,Aigurande,36,46.45568,1.83977
ailhon,Ailhon,7,44.59861,4.33306
aillant sur milleron,Aillant-sur-Milleron,45,47.79488,2.93668
aillas,Aillas,33,44.48353,-0.06622
ailleux,Ailleux,42,45.79916,3.93365
aillevans,Aillevans,70,47.59011,6.41782
ailleville,Ailleville,10,48.255,4.69449
aillevillers et lyaumont,Aillevillers-et-Lyaumont,70,47.93823,6.33248
aillianville,Aillianville,52,48.3333,5.48294
aillieres beauvoir,Aillières-Beauvoir,72,48.39965,0.32125
aillon le jeune,Aillon-le-Jeune,73,45.60886,6.08869
aillon le vieux,Aillon-le-Vieux,73,45.65065,6.08811
ailloncourt,Ailloncourt,70,47.75718,6.38881
ailly,Ailly,27,49.15752,1.24431
ailly le haut clocher,Ailly-le-Haut-Clocher,80,50.08137,1.99604
ailly sur noye,Ailly-sur-Noye,80,49.74666,2.34699
ailly sur somme,Ailly-sur-Somme,80,49.91349,2.18609
aimargues,Aimargues,30,43.67178,4.20375
aime la plagne,Aime-la-Plagne,73,45.55258,6.61837
ainay le chateau,Ainay-le-Château,3,46.71557,2.72086
ainay le vieil,Ainay-le-Vieil,18,46.66411,2.54417
aincille,Aincille,64,43.13395,-1.19766
aincourt,Aincourt,95,49.07284,1.77403
aincreville,Aincreville,55,49.36975,5.11617
aingeray,Aingeray,54,48.73696,6.01923
aingeville,Aingeville,88,48.20516,5.76822
aingoulaincourt,Aingoulaincourt,52,48.45623,5.27698
ainharp,Ainharp,64,43.25474,-0.93572
ainhice mongelos,Ainhice-Mongelos,64,43.21434,-1.15953
ainhoa,Ainhoa,64,43.29739,-1.48514
ainvelle,Ainvelle,70,47.84794,6.24391
ainvelle,Ainvelle,88,47.98738,5.82892
airaines,Airaines,80,49.97207,1.94513
aire,Aire,8,49.47075,4.16389
aire sur l adour,Aire-sur-l'Adour,40,43.69835,-0.26515
aire sur la lys,Aire-sur-la-Lys,62,50.64416,2.39533
airel,Airel,50,49.21251,-1.08008
airion,Airion,60,49.42225,2.41814
airon notre dame,Airon-Notre-Dame,62,50.44122,1.66789
airon saint vaast,Airon-Saint-Vaast,62,50.42714,1.67121
airoux,Airoux,11,43.36769,1.87455
airvault,Airvault,79,46.83297,-0.13588
aiserey,Aiserey,21,47.17288,5.16877
aisey et richecourt,Aisey-et-Richecourt,70,47.88811,5.95537
aisey sur seine,Aisey-sur-Seine,21,47.74799,4.57815
aisonville et bernoville,Aisonville-et-Bernoville,2,49.93015,3.5112
aissey,Aïssey,25,47.26993,6.32694
aisy sous thil,Aisy-sous-Thil,21,47.39345,4.27887
aisy sur armancon,Aisy-sur-Armançon,89,47.65696,4.20908
aiti,Aiti,2B,42.40432,9.22874
aiton,Aiton,73,45.57338,6.25735
aix,Aix,19,45.61314,2.39219
aix,Aix,59,50.49842,3.30537
aix en ergny,Aix-en-Ergny,62,50.58724,2.00012
aix en issart,Aix-en-Issart,62,50.48026,1.86105
aix en provence,Aix-en-Provence,13,43.53607,5.39857
aix la fayette,Aix-la-Fayette,63,45.50698,3.52877
aix les bains,Aix-les-Bains,73,45.69785,5.90389
aix noulette,Aix-Noulette,62,50.42124,2.71264
aix villemaur palis,Aix-Villemaur-Pâlis,10,48.19757,3.73633
aixe sur vienne,Aixe-sur-Vienne,87,45.79812,1.13256
aizac,Aizac,7,44.71968,4.33067
aizanville,Aizanville,52,48.11161,4.89456
aize,Aize,36,47.1079,1.70662
aizecourt le bas,Aizecourt-le-Bas,80,49.98678,3.02909
aizecourt le haut,Aizecourt-le-Haut,80,49.96695,2.9825
aizelles,Aizelles,2,49.4848,3.8187
aizenay,Aizenay,85,46.73845,-1.62703
aizier,Aizier,27,49.43072,0.62608
aizy jouy,Aizy-Jouy,2,49.43843,3.51149
ajac,Ajac,11,43.04499,2.13672
ajaccio,Ajaccio,2A,41.93479,8.70132
ajain,Ajain,23,46.21099,1.99596
ajat,Ajat,24,45.16111,1.0276
ajoncourt,Ajoncourt,57,48.84506,6.30367
ajoux,Ajoux,7,44.75506,4.48565
alaigne,Alaigne,11,43.09783,2.09203
alaincourt,Alaincourt,2,49.76671,3.36639
alaincourt,Alaincourt,70,47.94628,6.09997
alaincourt la cote,Alaincourt-la-Côte,57,48.897,6.34037
alairac,Alairac,11,43.18203,2.23704
alan,Alan,31,43.22009,0.92763
alando,Alando,2B,42.30725,9.2863
alata,Alata,2A,41.97352,8.73133
alba la romaine,Alba-la-Romaine,7,44.55444,4.59598
alban,Alban,81,43.8844,2.45701
albaret le comtal,Albaret-le-Comtal,48,44.86766,3.14384
albaret sainte marie,Albaret-Sainte-Marie,48,44.88644,3.25064
albas,Albas,11,43.00566,2.72675
albas,Albas,46,44.46139,1.24016
albe,Albé,67,48.36147,7.3365
albefeuille lagarde,Albefeuille-Lagarde,82,44.0483,1.27398
albepierre bredons,Albepierre-Bredons,15,45.07736,2.82044
albert,Albert,80,50.00408,2.64831
albertacce,Albertacce,2B,42.31179,8.92423
albertville,Albertville,73,45.6684,6.4046
albestroff,Albestroff,57,48.92981,6.86937
albi,Albi,81,43.92582,2.14686
albiac,Albiac,31,43.5558,1.78268
albiac,Albiac,46,44.76778,1.81317
albias,Albias,82,44.0816,1.44856
albieres,Albières,11,42.94672,2.44639
albies,Albiès,9,42.75445,1.69801
albiez le jeune,Albiez-le-Jeune,73,45.23919,6.35813
albiez montrond,Albiez-Montrond,73,45.18853,6.3399
albignac,Albignac,19,45.14745,1.67745
albigny sur saone,Albigny-sur-Saône,69,45.86421,4.83077
albine,Albine,81,43.44395,2.52812
albitreccia,Albitreccia,2A,41.86047,8.87771
albon,Albon,26,45.23889,4.86235
albon d ardeche,Albon-d'Ardèche,7,44.81529,4.42504
alboussiere,Alboussière,7,44.93976,4.73413
albussac,Albussac,19,45.14133,1.81398
alby sur cheran,Alby-sur-Chéran,74,45.81564,6.01581
alcay alcabehety sunharette,Alçay-Alçabéhéty-Sunharette,64,43.08659,-0.97583
aldudes,Aldudes,64,43.09203,-1.43472
alembon,Alembon,62,50.78058,1.87195
alencon,Alençon,61,48.43182,0.09154
alenya,Alénya,66,42.6407,2.98145
aleria,Aléria,2B,42.10591,9.49565
ales,Alès,30,44.12501,4.08829
alet les bains,Alet-les-Bains,11,42.99439,2.25845
alette,Alette,62,50.52438,1.85083
aleu,Aleu,9,42.89374,1.26749
alex,Alex,74,45.88069,6.23634
alexain,Alexain,53,48.23207,-0.73573
aleyrac,Aleyrac,26,44.49891,4.9459
alfortville,Alfortville,94,48.79608,2.42125
algajola,Algajola,2B,42.60508,8.85736
algans,Algans,81,43.60011,1.89151
algolsheim,Algolsheim,68,48.00349,7.54981
algrange,Algrange,57,49.36441,6.04829
alieze,Alièze,39,46.58501,5.58578
alignan du vent,Alignan-du-Vent,34,43.46881,3.33926
alincourt,Alincourt,8,49.40305,4.34518
alincthun,Alincthun,62,50.7214,1.81018
alise sainte reine,Alise-Sainte-Reine,21,47.53551,4.4882
alissas,Alissas,7,44.70703,4.62406
alix,Alix,69,45.91683,4.655
alixan,Alixan,26,44.98221,5.01703
alizay,Alizay,27,49.32191,1.17828
allain,Allain,54,48.54967,5.9209
allaines,Allaines,80,49.96326,2.93745
allaines mervilliers,Allaines-Mervilliers,28,48.1924,1.82421
allainville,Allainville,28,48.72141,1.29474
allainville,Allainville,78,48.4678,1.90249
allaire,Allaire,56,47.63922,-2.17682
allamont,Allamont,54,49.12849,5.7766
allamps,Allamps,54,48.54837,5.81465
allan,Allan,26,44.49423,4.79847
allanche,Allanche,15,45.23127,2.953
alland huy et sausseuil,Alland'Huy-et-Sausseuil,8,49.51195,4.54919
allarmont,Allarmont,88,48.46872,7.02039
allas bocage,Allas-Bocage,17,45.38276,-0.49785
allas champagne,Allas-Champagne,17,45.47264,-0.33961
allas les mines,Allas-les-Mines,24,44.82805,1.07371
allassac,Allassac,19,45.25562,1.46918
allauch,Allauch,13,43.35331,5.51135
allegre,Allègre,43,45.18843,3.68991
allegre les fumades,Allègre-les-Fumades,30,44.1976,4.2534
alleins,Alleins,13,43.70742,5.15105
allemagne en provence,Allemagne-en-Provence,4,43.78879,6.03092
allemanche launay et soyer,Allemanche-Launay-et-Soyer,51,48.60669,3.79099
allemans,Allemans,24,45.28841,0.30527
allemans du dropt,Allemans-du-Dropt,47,44.6232,0.28654
allemant,Allemant,2,49.46244,3.45394
allemant,Allemant,51,48.76153,3.81602
allemond,Allemond,38,45.17108,6.01841
allenay,Allenay,80,50.08647,1.49294
allenc,Allenc,48,44.55228,3.67651
allenjoie,Allenjoie,25,47.53545,6.89315
allennes les marais,Allennes-les-Marais,59,50.54171,2.94866
allerey,Allerey,21,47.1905,4.42063
allerey sur saone,Allerey-sur-Saône,71,46.91383,4.97484
alleriot,Allériot,71,46.79884,4.95551
allery,Allery,80,49.95942,1.88551
alles sur dordogne,Alles-sur-Dordogne,24,44.86139,0.87464
alleuze,Alleuze,15,44.96029,3.09832
allevard,Allevard,38,45.37988,6.1141
alleves,Allèves,74,45.75887,6.08635
allex,Allex,26,44.76655,4.9152
alleyrac,Alleyrac,43,44.89448,3.98915
alleyras,Alleyras,43,44.90714,3.6802
alleyrat,Alleyrat,19,45.56367,2.21836
alleyrat,Alleyrat,23,45.98784,2.15421
allez et cazeneuve,Allez-et-Cazeneuve,47,44.38194,0.6285
alliancelles,Alliancelles,51,48.80339,4.87419
alliat,Alliat,9,42.8159,1.58114
allibaudieres,Allibaudières,10,48.5864,4.12293
allichamps,Allichamps,52,48.56369,4.88629
allier,Allier,65,43.18005,0.12679
allieres,Allières,9,43.03854,1.36391
alligny cosne,Alligny-Cosne,58,47.44358,3.07326
alligny en morvan,Alligny-en-Morvan,58,47.20972,4.17339
allineuc,Allineuc,22,48.31131,-2.86736
allinges,Allinges,74,46.33371,6.46512
allogny,Allogny,18,47.23399,2.30681
alloinay,Alloinay,79,46.15013,-0.04844
allondans,Allondans,25,47.52235,6.75133
allondaz,Allondaz,73,45.71165,6.37224
allondrelle la malmaison,Allondrelle-la-Malmaison,54,49.51069,5.56878
allonne,Allonne,60,49.39653,2.11883
allonne,Allonne,79,46.58044,-0.38172
allonnes,Allonnes,28,48.33163,1.652
allonnes,Allonnes,49,47.30347,0.01111
allonnes,Allonnes,72,47.95897,0.14377
allons,Allons,4,43.98039,6.59033
allons,Allons,47,44.19338,-0.08001
allonville,Allonville,80,49.93794,2.36777
allonzier la caille,Allonzier-la-Caille,74,46.00053,6.10482
allos,Allos,4,44.2615,6.62672
allouagne,Allouagne,62,50.53223,2.50494
alloue,Alloue,16,46.02046,0.52584
allouis,Allouis,18,47.17781,2.24097
allouville bellefosse,Allouville-Bellefosse,76,49.59464,0.66544
alluy,Alluy,58,47.03388,3.63262
alluyes,Alluyes,28,48.22896,1.36379
ally,Ally,15,45.16444,2.3257
ally,Ally,43,45.15029,3.31672
almayrac,Almayrac,81,44.09893,2.15599
almeneches,Almenêches,61,48.69822,0.12568
almont les junies,Almont-les-Junies,12,44.60094,2.31097
alo,Alo,98,,
alos,Alos,81,44.02051,1.87448
alos,Alos,9,42.89849,1.1294
alos sibas abense,Alos-Sibas-Abense,64,43.11292,-0.87797
aloxe corton,Aloxe-Corton,21,47.06824,4.86123
alquines,Alquines,62,50.73357,1.99279
alrance,Alrance,12,44.13522,2.6756
alsting,Alsting,57,49.18049,7.00111
altagene,Altagène,2A,41.7092,9.07705
alteckendorf,Alteckendorf,67,48.79445,7.59641
altenach,Altenach,68,47.60175,7.10897
altenheim,Altenheim,67,48.72007,7.46241
althen des paluds,Althen-des-Paluds,84,44.00481,4.95794
altiani,Altiani,2B,42.21945,9.27832
altier,Altier,48,44.45968,3.8568
altillac,Altillac,19,44.98044,1.8689
altkirch,Altkirch,68,47.62103,7.24484
altorf,Altorf,67,48.52472,7.53898
altrippe,Altrippe,57,49.02737,6.81556
altviller,Altviller,57,49.06894,6.7314
altwiller,Altwiller,67,48.91552,6.97972
aluze,Aluze,71,46.85185,4.69014
alvignac,Alvignac,46,44.8339,1.68546
alvimare,Alvimare,76,49.60716,0.63205
alzen,Alzen,9,42.98139,1.45572
alzi,Alzi,2B,42.31265,9.31475
alzing,Alzing,57,49.27648,6.55326
alzon,Alzon,30,43.97421,3.4475
alzonne,Alzonne,11,43.2653,2.17459
amage,Amage,70,47.84562,6.49802
amagne,Amagne,8,49.51641,4.50308
amagney,Amagney,25,47.30534,6.14827
amailloux,Amailloux,79,46.74945,-0.31347
amance,Amance,10,48.29185,4.48705
amance,Amance,54,48.75496,6.30928
amance,Amance,70,47.79051,6.05332
amancey,Amancey,25,47.0312,6.07639
amancy,Amancy,74,46.07283,6.33057
amange,Amange,39,47.16697,5.56491
amanlis,Amanlis,35,47.99982,-1.49556
amanty,Amanty,55,48.51515,5.60411
amanvillers,Amanvillers,57,49.1595,6.04632
amanze,Amanzé,71,46.32647,4.23627
amarens,Amarens,81,44.04389,1.92109
amathay vesigneux,Amathay-Vésigneux,25,47.02315,6.19581
amaye sur orne,Amayé-sur-Orne,14,49.09112,-0.43422
amaye sur seulles,Amayé-sur-Seulles,14,49.08206,-0.7177
amazy,Amazy,58,47.38308,3.56105
ambacourt,Ambacourt,88,48.35196,6.13964
ambares et lagrave,Ambarès-et-Lagrave,33,44.94449,-0.50058
ambax,Ambax,31,43.36803,0.93703
ambazac,Ambazac,87,45.95342,1.39931
ambel,Ambel,38,44.79954,5.93326
ambenay,Ambenay,27,48.84022,0.73973
amberac,Ambérac,16,45.85624,0.05913
amberieu en bugey,Ambérieu-en-Bugey,1,45.96085,5.37293
amberieux,Ambérieux,69,45.92888,4.74109
amberieux en dombes,Ambérieux-en-Dombes,1,45.99618,4.91227
ambernac,Ambernac,16,45.97477,0.55641
amberre,Amberre,86,46.75785,0.1536
ambert,Ambert,63,45.55578,3.75625
ambes,Ambès,33,45.01153,-0.54831
ambeyrac,Ambeyrac,12,44.49435,1.93572
ambialet,Ambialet,81,43.92638,2.3758
ambiegna,Ambiegna,2A,42.0878,8.77384
ambierle,Ambierle,42,46.10596,3.89159
ambievillers,Ambiévillers,70,47.99589,6.14036
ambillou,Ambillou,37,47.45206,0.4466
ambilly,Ambilly,74,46.19616,6.2243
amblainville,Amblainville,60,49.2071,2.12058
amblans et velotte,Amblans-et-Velotte,70,47.68097,6.41769
ambleny,Ambleny,2,49.37627,3.18335
ambleon,Ambléon,1,45.7495,5.59432
ambleteuse,Ambleteuse,62,50.81159,1.62109
ambleville,Ambleville,16,45.55816,-0.22452
ambleville,Ambleville,95,49.15095,1.69495
amblie,Amblie,14,49.28489,-0.50147
ambloy,Ambloy,41,47.7092,0.96933
ambly fleury,Ambly-Fleury,8,49.48912,4.48932
ambly sur meuse,Ambly-sur-Meuse,55,49.02258,5.45226
amboise,Amboise,37,47.39172,1.00024
ambon,Ambon,56,47.5571,-2.54057
ambonil,Ambonil,26,44.79183,4.90939
ambonnay,Ambonnay,51,49.08689,4.17217
ambonville,Ambonville,52,48.31397,5.01063
ambrault,Ambrault,36,46.78373,1.94971
ambres,Ambres,81,43.72873,1.83182
ambricourt,Ambricourt,62,50.46557,2.1712
ambrief,Ambrief,2,49.32153,3.40362
